word,count
rt,249
facebook,129
de,82
la,49
que,45
en,34
brt,31
el,26
http,26
por,25
meeting,24
1st,23
2561,23
fan,23
perayaofficial,23
singapore,23
kristampsingto,23
30,23
extracold,22
data,22
kangdaniel,22
zuckerberg,20
cambridge,20
del,19
para,18
