word,count
facebook,70
said,67
data,64
us,37
company,36
privacy,33
mr,31
would,30
users,28
law,24
companies,22
new,22
analytica,22
cambridge,22
percent,21
billion,20
information,18
personal,18
social,17
may,17
zuckerberg,17
one,16
people,16
internet,16
could,16
like,15
hollander,15
please,15
many,14
use,14
million,14
president,14
think,13
wednesday,12
political,12
get,12
say,12
european,11
shares,11
times,11
still,11
4,11
hes,11
since,11
york,11
google,11
executive,10
tell,10
china,10
2018,10
