word,count
rt,1725
facebook,1119
de,705
que,334
la,325
en,299
brt,274
el,198
por,153
data,151
e,135
zuckerberg,123
un,116
cambridge,112
con,111
se,108
twitter,102
para,100
1,99
2,97
analytica,95
users,93
los,89
del,89
mark,84
video,80
music,80
amp,79
toy,78
privacy,77
las,76
house,76
million,75
selling,75
new,74
live,71
es,70
us,69
87,67
instagram,66
people,66
wallet,65
wrong,64
li,64
extracold,64
kangdaniel,64
gun,64
turn,63
loud,63
hoodie,62
