,word,count
0,data|facebook,3069
1,facebook|privacy,1544
2,company|facebook,1393
3,facebook|users,1365
4,data|privacy,1195
5,facebook|people,1083
6,facebook|us,1062
7,data|users,1035
8,facebook|would,1022
9,facebook|information,997
