word,count
said,394
facebook,251
data,162
new,141
us,134
company,126
people,114
one,106
mr,104
would,92
users,87
youtube,86
york,83
times,80
like,79
phil,77
also,73
percent,72
cambridge,72
wednesday,72
zuckerberg,69
privacy,67
information,67
please,66
says,64
